アイアラソウ	アイアラソウ	動詞-自立	五段・ワ行促音便	相争う	相争う-アイアラソウ
アイイレル	アイイレル	動詞-自立	一段	相容れる	相容れる-アイイレル
アイイレル	アイイレル	動詞-自立	一段	相いれる	相容れる-アイイレル
アイイレル	アイイレル	動詞-自立	一段	相入れる	相容れる-アイイレル
アイカワル	アイカワル	動詞-自立	五段・ラ行	相変わる	相変わる-アイカワル
アイカワル	アイカワル	動詞-自立	五段・ラ行	あいかわる	相変わる-アイカワル
アイカワル	アイカワル	動詞-自立	五段・ラ行	相変る	相変わる-アイカワル
アイクルシイ	アイクルシイ	形容詞-自立	形容詞・イ段	愛くるしい	愛くるしい-アイクルシイ
アイクルシイ	アイクルシイ	形容詞-自立	形容詞・イ段	あいくるしい	愛くるしい-アイクルシイ
アイコトナル	アイコトナル	動詞-自立	五段・ラ行	相異なる	相異なる-アイコトナル
アイシアウ	アイシアウ	動詞-自立	五段・ワ行促音便	愛し合う	愛し合う-アイシアウ
アイシアウ	アイシアウ	動詞-自立	五段・ワ行促音便	愛しあう	愛し合う-アイシアウ
アイジョウフカイ	アイジョーフカイ	形容詞-自立	形容詞・アウオ段	愛情深い	愛情深い-アイジョウフカイ
アイジョウブカイ	アイジョーブカイ	形容詞-自立	形容詞・アウオ段	愛情深い	愛情深い-アイジョウブカイ
アイス	アイス	動詞-自立	五段・サ行	愛す	愛す-アイス
アイスル	アイスル	動詞-自立	サ変・−スル	愛する	愛する-アイスル
アイタイス	アイタイス	動詞-自立	五段・サ行	相対す	相対す-アイタイス
アイタイスル	アイタイスル	動詞-自立	サ変・−スル	相対する	相対する-アイタイスル
アイタイスル	アイタイスル	動詞-自立	サ変・−スル	あい対する	相対する-アイタイスル
アイツグ	アイツグ	動詞-自立	五段・ガ行	相次ぐ	相次ぐ-アイツグ
アイツグ	アイツグ	動詞-自立	五段・ガ行	相つぐ	相次ぐ-アイツグ
アイツグ	アイツグ	動詞-自立	五段・ガ行	あいつぐ	相次ぐ-アイツグ
アイツグ	アイツグ	動詞-自立	五段・ガ行	相継ぐ	相次ぐ-アイツグ
アイツヅク	アイツズク	動詞-自立	五段・カ行イ音便	相続く	相続く-アイツヅク
アイツヅク	アイツズク	動詞-自立	五段・カ行イ音便	あい続く	相続く-アイツヅク
アイテドル	アイテドル	動詞-自立	五段・ラ行	相手取る	相手取る-アイテドル
アイトモナウ	アイトモナウ	動詞-自立	五段・ワ行促音便	相伴う	相伴う-アイトモナウ
アイナル	アイナル	動詞-自立	五段・ラ行	相成る	相成る-アイナル
アイナル	アイナル	動詞-自立	五段・ラ行	相なる	相成る-アイナル
アイナル	アイナル	動詞-自立	五段・ラ行	あいなる	相成る-アイナル
アイハンスル	アイハンスル	動詞-自立	サ変・−スル	相反する	相反する-アイハンスル
アイヒトシイ	アイヒトシイ	形容詞-自立	形容詞・イ段	相等しい	相等しい-アイヒトシイ
アイマツ	アイマツ	動詞-自立	五段・タ行	相まつ	相まつ-アイマツ
アイマツ	アイマツ	動詞-自立	五段・タ行	あいまつ	相まつ-アイマツ
アイマツ	アイマツ	動詞-自立	五段・タ行	相俟つ	相まつ-アイマツ
アイマミエル	アイマミエル	動詞-自立	一段	相まみえる	相まみえる-アイマミエル
アイマミエル	アイマミエル	動詞-自立	一段	あいまみえる	相まみえる-アイマミエル
アイマミエル	アイマミエル	動詞-自立	一段	相見える	相まみえる-アイマミエル
アイヨル	アイヨル	動詞-自立	五段・ラ行	相寄る	相寄る-アイヨル
アイラシイ	アイラシイ	形容詞-自立	形容詞・イ段	愛らしい	愛らしい-アイラシイ
アイワス	アイワス	動詞-自立	五段・サ行	相和す	相和す-アイワス
アウ	アウ	動詞-自立	五段・ワ行促音便	会う	会う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	あう	会う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	遭う	会う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	逢う	会う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	遇う	会う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	合う	合う-アウ
アウ	アウ	動詞-自立	五段・ワ行促音便	あう	合う-アウ
アウ	アウ	動詞-非自立	五段・ワ行促音便	合う	合う-アウ
アウ	アウ	動詞-非自立	五段・ワ行促音便	あう	合う-アウ
アエギクルウ	アエギクルウ	動詞-自立	五段・ワ行促音便	あえぎ狂う	あえぎ狂う-アエギクルウ
アエギクルウ	アエギクルウ	動詞-自立	五段・ワ行促音便	喘ぎ狂う	あえぎ狂う-アエギクルウ
